test_id,iphone_device_id,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,pre_connection_type,post_connection_type,isp_name,is_isp,network_operator_name,iso_country_code,mcc,mnc,model,version,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code,client_ipv6_address,client_latitude_start,client_longitude_start,location_type_start
3319393159,164966345,"2019-07-01 00:00:00","123.136.xxx.xxx",1814,807,47,"Petaling Jaya","Malaysia","MY",3.0833,101.6500,"webe Digital Sdn Bhd","Malaysia","MY","Malacca","04","Durian Tunggal",2.309,102.318,70.6535,6,6,"U Mobile Sdn Bhd","1","U Mobile","MY","502","18","iPhone 6 Plus","12.3.1",1,"Durian Tunggal, Malacca, Malaysia","Durian Tunggal","locality","Malaysia","MY","Malacca","Alor Gajah","","76100","","2.30998","102.31807",1
3319393160,169997289,"2019-07-01 00:00:00","196.129.xxx.xxx",8218,4421,46,"Cairo","Egypt","EG",30.0566,31.2262,"Etisalat Misr","Egypt","EG","Cairo Governorate","C","Cairo",30.047,31.235,0.846182,12,12,"Vodafone Egypt","1","Vodafone","EG","602","2","iPhone X","12.3.1",1,"Cairo, Cairo Governorate, Egypt","Cairo","locality","Egypt","EG","Cairo Governorate","","","","","30.04759","31.23576",1
3319393174,103018623,"2019-07-01 00:00:01","188.170.xxx.xxx",26765,4687,56,"Makhachkala","Russia","RU",42.9667,47.5000,"Rostelecom","Russia","RU","Dagestan Republic","DA","Kaspiysk",42.820,47.655,12.8033,12,12,"PJSC MegaFon","1","MegaFon","RU","250","2","iPhone5S","12.3.1",1,"Karabudakhkentsky District, Dagestan Republic, Russia","Karabudakhkentsky District","administrative_area_level_2","Russia","RU","Dagestan Republic","Karabudakhkentsky District","","368301","","42.82099","47.65581",1
3319393177,163701953,"2019-07-01 00:00:01","95.184.xxx.xxx",67314,24160,38,"Riyadh","Saudi Arabia","SA",24.6500,46.7100,"Saudi Telecom Company (STC)","Saudi Arabia","SA","Riyadh Province","01","Az Zulfi",26.323,44.794,166.422,12,12,"SaudiNet","1","STC","SA","420","1","iPhone XS","12.1.4",1,"Az Zulfi Saudi Arabia","Az Zulfi","locality","Saudi Arabia","SA","Riyadh Province","","","15973","","26.32721","44.80063",1
3319393182,168838804,"2019-07-01 00:00:01","42.106.xxx.xxx",9449,3705,27,"Mumbai","India","IN",18.9647,72.8258,"Vodafone India","India","IN","Maharashtra","MH","Mumbai",19.137,72.866,12.2678,12,12,"Vodafone India","1","Vodafone India","IN","404","20","iPhone 8 Plus","12.3.2",1,"Mumbai, Maharashtra, India","Mumbai","locality","India","IN","Maharashtra","Mumbai","","400093","","19.13779","72.86671",1
3319393184,135682638,"2019-07-01 00:00:01","49.237.xxx.xxx",3435,381,45,"Ayutthaya","TH","TH",14.3692,100.5877,"AIS","Thailand","TH","Saraburi","19","Phra Phutthabat",14.799,100.760,31.9511,6,6,"True Internet","1","TRUE-H","TH","520","4","iPhone 7","12.3.1",1,"Nikhom Sang Ton Eng, Mueang Lop Buri District, Lopburi, Thailand","Nikhom Sang Ton Eng","locality","Thailand","TH","Lopburi","Mueang Lop Buri District","","15000","","14.79979","100.76048",1
3319393187,170532660,"2019-07-01 00:00:02","197.229.xxx.xxx",2249,627,33,"Cape Town","South Africa","ZA",-33.9253,18.4239,"MWEB Connect","South Africa","ZA","Western Cape","WC","Cape Town",-33.947,18.593,9.8428,6,6,"Telkom Internet","1","TelkomSA","ZA","655","2","iPhone5S","12.3.1",1,"Cape Town, South Africa","Cape Town","locality","South Africa","ZA","Western Cape","Cape Town","Cape Town","7490","","-33.94710","18.59339",1
3319393200,156983547,"2019-07-01 00:00:02","51.39.xxx.xxx",43653,3095,17,"Dammam","Saudi Arabia","SA",26.2833,50.2000,"Zain KSA","Saudi Arabia","SA","Eastern Province","04","Sayhat",26.475,50.048,16.2869,12,12,"Zain Saudi Arabia","1","Zain KSA","SA","420","4","iPhone 7","12.1",1,"Saihat Saudi Arabia","Saihat","locality","Saudi Arabia","SA","Eastern Province","","","32434","","26.47547","50.04803",1
3319393201,136109793,"2019-07-01 00:00:02","51.252.xxx.xxx",26776,13488,64,"Khamis Mushait","Saudi Arabia","SA",18.3093,42.7662,"Saudi Telecom Company (STC)","Saudi Arabia","SA","Aseer Province","14","Abha",18.210,42.508,18.2493,12,12,"SaudiNet","1","STC","SA","420","1","iPhone 7","12.3.1",1,"Abha Saudi Arabia","Abha","locality","Saudi Arabia","SA","Aseer Province","","","62521","","18.21012","42.50876",1
3319393204,163334847,"2019-07-01 00:00:03","203.144.xxx.xxx",15984,9629,30,"Phnom Penh","Cambodia","KH",11.5500,104.9167,"NeocomISP Limited","Cambodia","KH","Pursat","15","Pursat",12.528,103.920,95.4949,12,12,"Cambodian ISP, Country Wide, Wireless IAP","0","Carrier","KH","456","1","iPhone 6S","12.3.1",1,"Krong Pursat, Cambodia","Krong Pursat","locality","Cambodia","KH","Pursat","","","","","12.52844","103.92080",1
