test_id,guid,test_date,received_date,desktop_device_id,platform,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,isp_name,is_isp,connection_type,location_type,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,postal_code,client_ipv6_address
113948331,"C769CD07F38346AD84D7787E3C6E3AB7","2019-06-30 23:59:20","2019-07-01 00:00:00","6253111","5","202.173.xxx.xxx",4943,7089,6,"New Delhi","India","IN",28.6100,77.2300,"VMO Broadband","Excitel","1","2","2","India","IN","Delhi","DL","New Delhi",28.600,77.200,1.94909,"New Delhi, Delhi 110001, India","New Delhi","locality","India","IN","Delhi","","","110011",""
113948332,"3DFBC0EF50EC41238E6A1E0A4C540663","2019-07-01 00:00:02","2019-07-01 00:00:02","5508339","4","222.240.xxx.xxx",10232,3987,28,"Guangzhou","CN","CN",23.1333,113.2667,"ChinaTelecom-GZ","China Telecom HUNAN","1","2","1","China","CN","Hunan","HN","Changsha",28.179,113.113,349.157,"Changsha, Hunan, China","Changsha","locality","China","CN","Hunan","","","410153",""
113948333,"1950F5AE646441A48AA6D7ABB2ACC25E","2019-07-01 00:00:02","2019-07-01 00:00:02","5456345","4","188.151.xxx.xxx",17862,19935,2,"Gothenburg","Sweden","SE",57.7000,11.9667,"Tele2","Tele2 SWIPnet","1","22","1","Sweden","SE","Västra Götaland County","O","Gothenburg",57.707,11.966,0.497925,"Gothenburg, Sweden","Gothenburg","locality","Sweden","SE","Västra Götaland County","Göteborg","","416 58",""
113948334,"77AA02AE919149519E1F245AD1D35F59","2019-07-01 00:00:02","2019-07-01 00:00:02","7325719","4","95.208.xxx.xxx",235097,40088,21,"Stuttgart","Germany","DE",48.7758,9.1829,"dasWLAN.de","Unitymedia","1","2","1","Germany","DE","Baden-Württemberg","BW","Sindelfingen",48.700,9.016,9.21802,"Sindelfingen, Germany","Sindelfingen","locality","Germany","DE","Baden-Württemberg","Stuttgart","Böblingen","71065",""
113948335,"27183ECC966E473BA273C8D95239918B","2019-07-01 00:00:03","2019-07-01 00:00:03","3902810","4","202.176.xxx.xxx",5547,2203,6,"Bangkok","Thailand","TH",13.7500,100.4833,"CPE_II-RMUTT","True Internet","1","2","2","Thailand","TH","Bangkok","10","Bangkok",13.750,100.516,2.24418,"Bangkok, Thailand","Bangkok","locality","Thailand","TH","","","","10600",""
113948336,"1863A6C7527A4EE09317401454EE7F8B","2019-06-30 23:59:30","2019-07-01 00:00:05","4568660","5","79.131.xxx.xxx",24375,5673,30,"Athens","Greece","GR",37.9778,23.7278,"Cosmote S.A.","OTEnet S.A.","1","22","1","Greece","GR","Northern Aegean","K","Chios",38.367,26.135,133.688,"Chios, Greece","Chios","locality","Greece","GR","Egeo","Northern Aegean","Chios, Chios, Chios","821 00","2a02:587:b007:f40x:xxxx:xxxx:xxxx:xxxx"
113948337,"EA64E89A57B0426E8018280250370B25","2019-06-30 23:59:45","2019-07-01 00:00:05","5701595","4","178.135.xxx.xxx",0,0,133,"Beirut","Lebanon","LB",33.8869,35.5131,"Moscanet Wise","UNKNOWN","","2","1","Lebanon","LB","Mt Lebanon","JL","Dik el Mehdi",33.933,35.616,6.75788,"","","","","","","","","",""
113948338,"EBCF99F0F9854720A7238938A9F3EC64","2019-06-30 23:59:30","2019-07-01 00:00:06","5129130","5","125.164.xxx.xxx",3883,3695,2,"Surabaya","Indonesia","ID",-7.2667,112.7333,"PT. Telekomunikasi Indonesia","PT TELKOM INDONESIA","1","2","1","Indonesia","ID","East Java","JI","Surabaya",-7.249,112.750,1.70512,"Surabaya, Surabaya City, East Java, Indonesia","Surabaya","locality","Indonesia","ID","East Java","Surabaya City","","60296",""
113948339,"91CE3F880AFC4F3FA1947C819806AE54","2019-07-01 00:00:06","2019-07-01 00:00:06","2336383","4","183.179.xxx.xxx",435162,449669,2,"Hong Kong","Hong Kong","HK",22.3964,114.1095,"Shanghai Huajuan Information Technology Co., Ltd.","Hong Kong Broadband Network","1","0","2","Hong Kong","HK","Yuen Long District","NYL","Tin Shui Wai",22.466,114.000,8.52392,"Hong Kong, Hong Kong","Hong Kong","locality","Hong Kong","HK","","","","",""
113948340,"38A06E32265544F49DE81F80C4EE39FD","2019-06-30 23:59:58","2019-07-01 00:00:06","6636562","4","106.70.xxx.xxx",0,0,29,"Gold Coast","Australia","AU",-28.0160,153.0167,"Optus","UNKNOWN","","2","2","Australia","AU","Queensland","QLD","Hamilton",-27.441,153.066,39.8419,"","","","","","","","","",""
113948341,"3ED9BE15F6724B818A7063D776468688","2019-07-01 00:00:06","2019-07-01 00:00:06","6579393","4","46.59.xxx.xxx",35708,19982,5,"Hamburg","Germany","DE",53.5653,10.0014,"Studio Funk GmbH & Co. KG","wilhelm.tel","1","2","2","Germany","DE","Hamburg","HH","Hamburg",53.550,10.000,1.05992,"Hamburg, Germany","Hamburg","locality","Germany","DE","Hamburg","","","22307",""
113948342,"2CA1AFD931624513BCEC24EF47D0C0EB","2019-06-30 23:59:28","2019-07-01 00:00:07","4391311","5","125.163.xxx.xxx",18219,18958,9,"Semarang","Indonesia","ID",-6.9667,110.4167,"PT. Telekomunikasi Indonesia","PT TELKOM INDONESIA","1","2","1","Indonesia","ID","Central Java","JT","Batang",-6.484,110.708,38.9006,"Batang, Batang Sub-District, Batang Regency, Central Java, Indonesia","Batang","locality","Indonesia","ID","Central Java","Batang Regency","Batang Sub-District","51216",""
113948343,"5D8D9C36712B4AB7B5BADF4B50E31C0C","2019-07-01 00:00:07","2019-07-01 00:00:07","6060462","4","116.7.xxx.xxx",264363,34936,15,"Taipa","Macau","MO",22.1597,113.5639,"CTM","China Telecom Guangdong","1","22","2","China","CN","Guangdong","GD","Zhuhai",22.276,113.567,8.11053,"Zhuhai, Guangdong, China","Zhuhai","locality","China","CN","Guangdong","","","519001",""
113948344,"065283342E564B6FBB89231C98611A75","2019-06-30 23:59:39","2019-07-01 00:00:08","6295122","5","192.228.xxx.xxx",945076,514459,4,"Kuala Lumpur","Malaysia","MY",3.1357,101.6880,"Symphonet Sdn Bhd","Tt Dotcom Sdn Bhd","1","22","1","Malaysia","MY","Federal Territory of Kuala Lumpur","14","Kuala Lumpur",3.166,101.700,2.2987,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","Kuala Lumpur","locality","Malaysia","MY","Federal Territory of Kuala Lumpur","","","54000",""
113948345,"2C3D736C896740B990624A214FD8D5A3","2019-06-30 23:59:33","2019-07-01 00:00:08","5399625","5","85.75.xxx.xxx",15797,913,28,"Athens","Greece","GR",37.9778,23.7278,"Top.Host","OTEnet S.A.","1","22","2","Greece","GR","Attica","I","Athens",37.983,23.733,0.481087,"Athens, Greece","Athens","locality","Greece","GR","Attica","Attica","Kentrikos Tomeas Athinon, Athens, Athina","106 81","2a02:587:d830:fc5x:xxxx:xxxx:xxxx:xxxx"
113948346,"FD870EEE62EF4C6CA14F4AFDB7B379A3","2019-06-30 23:59:34","2019-07-01 00:00:09","6232679","5","180.249.xxx.xxx",12107,1726,38,"Mataram","Indonesia","ID",-8.5833,116.1167,"PT. Telekomunikasi Indonesia","PT TELKOM INDONESIA","1","2","1","Indonesia","ID","South Sulawesi","SN","Makassar",-5.140,119.422,328.996,"Makassar, Makassar City, South Sulawesi, Indonesia","Makassar","locality","Indonesia","ID","South Sulawesi","Makassar City","","90151",""
113948347,"AB29EC06DED648988BD0B4AEB5668E4C","2019-07-01 00:00:10","2019-07-01 00:00:10","4961952","4","93.243.xxx.xxx",34337,9497,22,"Riethnordhausen","Germany","DE",51.0850,11.0007,"KNT Internet","Deutsche Telekom AG","1","22","1","Germany","DE","Saxony-Anhalt","ST","Halle",51.500,12.000,51.8878,"Halle (Saale), Germany","Halle (Saale)","locality","Germany","DE","Saxony-Anhalt","","","06128",""
113948348,"D2F3821FF5124A9FBDF33B9511FBC8F0","2019-06-30 23:59:32","2019-07-01 00:00:10","4435805","5","151.127.xxx.xxx",67532,37197,25,"Puteaux","France","FR",48.8847,2.2396,"ORANGE FRANCE","OVH SAS","0","22","2","France","FR","Île-de-France","IDF","Jouy-en-Josas",48.766,2.166,8.81139,"Jouy-en-Josas, France","Jouy-en-Josas","locality","France","FR","Île-de-France","Yvelines","","78350",""
