test_id,test_date,client_ip_id,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,user_agent,isp_name,is_isp,connection_type,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code
8380424198,"2019-07-01 00:00:00","1382126762","122.165.xxx.xxx",91659,8427,11,"Chennai","India","IN",13.0827,80.2707,"Arjuntelecom","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Airtel Broadband","1","2","India","IN","Tamil Nadu","TN","Choolai",13.089,80.268,0.499155,"Chennai, Tamil Nadu, India","Chennai","locality","India","IN","Tamil Nadu","Tiruvallur","","600007"
8380424200,"2019-07-01 00:00:00","2147818722","59.63.xxx.xxx",21270,39878,29,"Wuhan","China","CN",30.5833,114.2833,"China Telecom Wuhan Branch","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) enfi-cloud-desktop/1.2.2 Chrome/66.0.3359.181 Electron/3.1.8 Safari/537.36","China Telecom JIANGXI","1","2","China","CN","Shaanxi","SN","Xi'an",34.262,108.937,402.585,"Xi'an, Shaanxi, China","Xi'an","locality","China","CN","Shaanxi","","","710054"
8380424201,"2019-07-01 00:00:00","1701089737","185.184.xxx.xxx",49408,46877,15,"Amsterdam","Netherlands","NL",52.3667,4.9000,"Vancis","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Eurofiber Nederland BV","1","0","Netherlands","NL","North Holland","NH","Oud-Loosdrecht",52.200,5.083,13.8966,"1231 Loosdrecht, Netherlands","Loosdrecht","locality","Netherlands","NL","North Holland","Wijdemeren","","1231"
8380424202,"2019-07-01 00:00:00","238000259","124.253.xxx.xxx",4575,46313,40,"Mohali","India","IN",30.7800,76.6900,"Quadrant televentures Ltd.","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.101 Safari/537.36","Quadrant Televentures Limited","1","2","India","IN","Punjab","PB","Sanehwal",30.841,75.985,42.0674,"Jugiana, Ludhiana, Punjab, India","Jugiana","sublocality_level_1","India","IN","Punjab","Ludhiana","Ludhiana","141122"
8380424204,"2019-07-01 00:00:00","324278126","41.235.xxx.xxx",10144,761,43,"Giza","Egypt","EG",30.0131,31.2089,"we","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","TE Data","1","2","Egypt","EG","Giza Governorate","GZ","Mohandessin",30.043,31.195,2.25506,"Saft Al Laban, Imbaba, Giza Governorate, Egypt","Saft Al Laban","administrative_area_level_3","Egypt","EG","Giza Governorate","Imbaba","Saft Al Laban",""
8380424205,"2019-07-01 00:00:00","1670486990","165.16.xxx.xxx",337,59,28,"Zawiya","Libya","LY",32.7630,12.7365,"ORANNGE LIBYA","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Aljeel-net","1","2","Libya","LY","Surt","SR","Sirte",31.206,16.594,250.646,"Libya","Libya","country","Libya","LY","","","",""
8380424207,"2019-07-01 00:00:00","1683463978","110.54.xxx.xxx",4887,1898,185,"Tokyo","Japan","JP",35.6833,139.6833,"GLBB Japan","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Globe Mobile","1","4","Philippines","PH","Metro Manila","00","Manila",14.600,120.966,1863.36,"Manila, Metro Manila, Philippines","Manila","locality","Philippines","PH","Metro Manila","","","1008"
8380424208,"2019-07-01 00:00:00","671097074","103.255.xxx.xxx",7962,18151,15,"New Delhi","India","IN",28.6700,77.4200,"Powernet Communications Pvt. Ltd.","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Netway Internet Services","1","2","India","IN","Uttar Pradesh","UP","Babugarh",28.716,77.850,26.29,"Atuta, Uttar Pradesh 245201, India","Atuta","locality","India","IN","Uttar Pradesh","Hapur","","245201"
8380424209,"2019-07-01 00:00:00","222839431","213.230.xxx.xxx",11591,11094,64,"Moscow","Russian Federation","RU",55.7517,37.6178,"MGTS","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Uzbektelekom Joint Stock Company","1","2","Uzbekistan","UZ","Tashkent","TK","Tashkent",41.316,69.250,1735.57,"Tashkent, Uzbekistan","Tashkent","locality","Uzbekistan","UZ","","","",""
8380424210,"2019-07-01 00:00:00","82233557","94.254.xxx.xxx",7859,2082,53,"Tczew","Poland","PL",54.0919,18.7773,"Telkab sp. z o.o.","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Play","1","4","Poland","PL","Pomeranian Voivodeship","PM","Gdańsk",54.348,18.651,18.4816,"80, Poland","Gdańsk","locality","Poland","PL","Pomeranian Voivodeship","Gdańsk","Gdańsk","80"
8380424211,"2019-07-01 00:00:00","91072372","112.200.xxx.xxx",13407,865,14,"Quezon City","Philippines","PH",14.6300,121.0300,"PLDT","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Philippine Long Distance Telephone","1","2","Philippines","PH","Metro Manila","00","Nagkaisang Nayon",14.725,121.027,6.62859,"Caloocan, Metro Manila, Philippines","Caloocan","locality","Philippines","PH","Central Luzon","Bulacan","",""
8380424212,"2019-07-01 00:00:00","514490561","36.84.xxx.xxx",3141,1157,31,"Denpasar","Indonesia","ID",-8.6500,115.2167,"Hutchison 3 Indonesia - DPS","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36","PT TELKOM INDONESIA","1","2","Indonesia","ID","Bali","BA","Amlapura",-8.440,115.614,30.7855,"Karangasem, Karangasem Sub-District, Karangasem Regency, Bali, Indonesia","Karangasem","locality","Indonesia","ID","Bali","Karangasem Regency","Karangasem Sub-District","80811"
8380424213,"2019-07-01 00:00:00","54406779","84.143.xxx.xxx",215576,37143,6,"Frankfurt","Germany","DE",50.1109,8.6821,"DEAC","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","Deutsche Telekom AG","1","2","Germany","DE","Hesse","HE","Petersberg",50.566,9.716,55.4989,"Fulda, Germany","Fulda","locality","Germany","DE","Hesse","Kassel","Fulda","36037"
8380424214,"2019-07-01 00:00:00","183448266","202.65.xxx.xxx",19040,21712,2,"Hyderabad","India","IN",17.3700,78.4800,"Pioneer Elabs Limited.","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Pioneer Elabs","1","2","India","IN","Telangana","TG","Domadugu",17.655,78.374,20.9538,"Medak, Telangana, India","Medak","administrative_area_level_2","India","IN","Telangana","Medak","","502319"
8380424216,"2019-07-01 00:00:00","1443403985","223.130.xxx.xxx",44874,42827,20,"Jalandhar","India","IN",31.3260,75.5762,"DATAWAVE IT SOLUTIONS PVT LTD","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Netplus Broadband Services Private Limited","1","2","India","IN","Punjab","PB","Patti",31.280,74.857,42.6086,"Burj Deva Singh, Punjab 143412, India","Burj Deva Singh","locality","India","IN","Punjab","Tarn Taran","","143412"
8380424217,"2019-07-01 00:00:00","385573432","178.43.xxx.xxx",459406,102305,8,"Szczecin","Poland","PL",53.4333,14.5333,"Orange Polska S.A.","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.90 Safari/537.36","Orange Swiatlowod","1","2","Poland","PL","Lower Silesian Voivodeship","DS","Karczyce",51.103,16.744,186.374,"Gmina Kostomłoty, Poland","Gmina Kostomłoty","administrative_area_level_3","Poland","PL","Lower Silesian Voivodeship","Środa Śląska County","Gmina Kostomłoty","55"
8380424218,"2019-07-01 00:00:00","1620330985","223.72.xxx.xxx",547621,103937,4,"Tianjin","China","CN",39.3434,117.3616,"Beijing Connect Trunk","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","China Mobile Guangdong","1","4","China","CN","Beijing","BJ","Jiuxianqiao",39.953,116.495,62.5122,"Beijing, Beijing, China","Beijing","locality","China","CN","Beijing","","","100123"
8380424219,"2019-07-01 00:00:00","309939775","93.90.xxx.xxx",83827,80503,11,"Barcelona","Spain","ES",41.3857,2.1699,"Adamo","Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko","acens Technologies, S.L.","0","0","Spain","ES","Catalonia","CT","Barcelona",41.388,2.159,0.604975,"Barcelona, Barcelona, Spain","Barcelona","locality","Spain","ES","Catalonia","Barcelona","El Barcelonès, Barcelona","08007"
8380424220,"2019-07-01 00:00:00","932121748","130.105.xxx.xxx",13874,2860,11,"Makati","Philippines","PH",14.5500,121.0300,"RISE.ph","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Sky Cable","1","2","Philippines","PH","Metro Manila","00","Pinagkaisahan",14.556,121.040,0.851648,"Taguig, Metro Manila, Philippines","Taguig","locality","Philippines","PH","Metro Manila","","",""
8380424221,"2019-07-01 00:00:00","1188125365","185.123.xxx.xxx",98280,100628,4,"Kursk","Russian Federation","RU",51.7333,36.1833,"ISP Sovtest","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","OOO Kurier","1","2","Russia","RU","Kursk Oblast","KRS","Klyukva",51.704,36.296,5.23469,"Kursk, Kursk Oblast, Russia","Kursk","locality","Russia","RU","Kursk Oblast","gorod Kursk","","305003"
8380424222,"2019-07-01 00:00:00","933188468","106.0.xxx.xxx",195351,192097,10,"Hyderabad","India","IN",17.3700,78.4800,"ACT Fibernet","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Sree Sai Services","0","2","India","IN","Andhra Pradesh","AP","Kurnool",15.833,78.050,110.049,"Kurnool, Andhra Pradesh 518001, India","Kurnool","locality","India","IN","Andhra Pradesh","Kurnool","","518004"
8380424223,"2019-07-01 00:00:01","2092673762","116.193.xxx.xxx",34381,56682,6,"ShangHai","China","CN",31.2000,121.5000,"China Unicom 5G","Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko","SHANGHAI VSAT NETWORK SYSTEMS CO.,LTD","1","2","China","CN","Shanghai","SH",\N,31.045,121.399,12.2203,"Shanghai, China","Shanghai","administrative_area_level_1","China","CN","Shanghai","","",""
8380424224,"2019-07-01 00:00:01","2002226811","118.151.xxx.xxx",10819,4068,73,"Taoyuan","Taiwan","TW",25.0764,121.2239,"Chief Telecom","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36","PT Fastel Sarana Indonesia","0","2","Indonesia","ID","Special Capital Region of Jakarta","JK","Slipi",-6.195,106.802,2370.81,"Central Jakarta, Central Jakarta City, Special Capital Region of Jakarta, Indonesia","Central Jakarta","locality","Indonesia","ID","Special Capital Region of Jakarta","Central Jakarta City","","10210"
8380424225,"2019-07-01 00:00:01","391710688","180.151.xxx.xxx",553189,552885,2,"New Delhi","India","IN",28.6139,77.2090,"Cybercity Extreme Broadband Pvt. Ltd.","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Shyam Spectra Pvt","1","2","India","IN","Delhi","DL","Chanakyapuri",28.597,77.187,1.71146,"New Delhi, Delhi 110001, India","New Delhi","locality","India","IN","Delhi","","","110021"
8380424226,"2019-07-01 00:00:01","169098766","110.77.xxx.xxx",33644,2335,35,"Singapore","Singapore","SG",1.3000,103.8000,"Singtel","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","CAT Telecom public company Ltd","1","2","Thailand","TH","Bangkok","10","Ramkhamhaeng",13.756,100.617,888.724,"Bangkok, Thailand","Bangkok","locality","Thailand","TH","","","","10240"
8380424227,"2019-07-01 00:00:01","1479510062","86.52.xxx.xxx",85040,48179,50,"Kolding","Denmark","DK",55.4960,9.4731,"Stofa A/S","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:67.0) Gecko/20100101 Firefox/67.0","Stofa+A/S","1","2","Denmark","DK","Region Syddanmark","83","Sønderborg",54.916,9.783,41.8991,"6400 Sønderborg, Denmark","Sønderborg","locality","Denmark","DK","Region Syddanmark","Sønderborg Municipality","","6400"
8380424228,"2019-07-01 00:00:01","136335085","86.174.xxx.xxx",1342,1124,36,"Stockton On Tees","United Kingdom","GB",54.5705,-1.3290,"Odyssey Systems Limited","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.3 Safari/605.1.15","BT","1","2","United Kingdom","GB","Gateshead District","GAT","Gateshead",54.945,-1.617,28.3483,"Gateshead, Tyne and Wear NE9, UK","Gateshead","locality","United Kingdom","GB","England","Tyne and Wear","Gateshead District","NE9"
8380424229,"2019-07-01 00:00:01","2150603213","114.23.xxx.xxx",47949,9521,2,"Auckland","New Zealand","NZ",-36.8500,174.7833,"WorldNet","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:67.0) Gecko/20100101 Firefox/67.0","Voyager Internet","1","2","New Zealand","NZ","Auckland","AUK","Auckland",-36.876,174.804,2.18525,"Auckland, New Zealand","Auckland","locality","New Zealand","NZ","Auckland","Auckland","","1141"
8380424231,"2019-07-01 00:00:01","252665148","203.217.xxx.xxx",39059,39571,2,"Hyderabad","India","IN",17.3700,78.4800,"Pioneer Elabs Limited.","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","RVR-Internet","0","2","India","IN","Telangana","TG","Hayatnagar",17.323,78.604,8.79833,"Ranga Reddy, Telangana, India","Ranga Reddy","administrative_area_level_2","India","IN","Telangana","Ranga Reddy","","501505"
8380424232,"2019-07-01 00:00:01","2150619146","113.104.xxx.xxx",78264,35180,15,"Kwai Chung","Hong Kong","HK",22.3668,114.1302,"CSL","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) enfi-cloud-desktop/1.2.2 Chrome/66.0.3359.181 Electron/3.1.8 Safari/537.36","China Telecom Guangdong","1","2","China","CN","Guangdong","GD","Shenzhen",22.533,114.133,11.5186,"Shenzhen, Guangdong, China","Shenzhen","locality","China","CN","Guangdong","","","518408"
8380424233,"2019-07-01 00:00:01","94880475","119.94.xxx.xxx",2750,579,33,"Mandaluyong","Philippines","PH",14.5800,121.0000,"Globe Telecom","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Philippine Long Distance Telephone","1","2","Philippines","PH","Central Luzon","03","Binakod",14.787,120.786,20.2548,"Hagonoy, 3002 Bulacan, Philippines","Hagonoy","locality","Philippines","PH","Central Luzon","Bulacan","",""
8380424234,"2019-07-01 00:00:01","1448956188","122.3.xxx.xxx",45141,15259,22,"Tarlac","Philippines","PH",15.5000,120.5000,"Globe Telecom","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Philippine Long Distance Telephone","1","2","Philippines","PH","Central Luzon","03","Alasas",15.066,120.644,31.5242,"San Fernando, Pampanga, Philippines","San Fernando","locality","Philippines","PH","Central Luzon","Pampanga","",""
8380424235,"2019-07-01 00:00:01","1536313112","93.170.xxx.xxx",3785,6185,4,"Krasnodar","RU","RU",45.0333,38.9667,"Sky Telecom","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Freedom Ltd.","1","2","Russia","RU","Adygea","AD","Yablonovsky",44.985,38.943,3.49541,"Takhtamukaysky District, Adygea, Russia","Takhtamukaysky District","administrative_area_level_2","Russia","RU","Adygea","Takhtamukaysky District","","385130"
8380424237,"2019-07-01 00:00:01","757626989","93.77.xxx.xxx",21942,5152,24,"Lviv","Ukraine","UA",49.8333,24.0000,"Network-Lviv ISP","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Volia","1","2","Ukraine","UA","Lviv Oblast","46","Lviv",49.833,24.000,0,"Lviv, Lviv Oblast, Ukraine","Lviv","locality","Ukraine","UA","Lviv Oblast","L'vivs'ka city council","","79000"
8380424238,"2019-07-01 00:00:01","246013709","223.204.xxx.xxx",219329,206030,1,"Chonburi","Thailand","TH",13.3611,100.9850,"3BB","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","3BB Broadband","1","2","Thailand","TH","Chon Buri","20","Ban Bueng",13.066,101.000,20.3888,"Laem Chabang, Bang Lamung District, Chon Buri, Thailand","Laem Chabang","locality","Thailand","TH","Chon Buri","Si Racha District","","20110"
8380424239,"2019-07-01 00:00:01","302716145","64.253.xxx.xxx",214227,228697,5,"Nashville, TN","United States","US",36.1667,-86.7833,"iRis Networks","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","DTC Communications","1","2","United States","US","Tennessee","TN","Woodbury",35.838,-86.039,47.4187,"Cannon County, TN, USA","Cannon County","administrative_area_level_2","United States","US","Tennessee","Cannon County","","37190"
8380424241,"2019-07-01 00:00:01","64287232","87.201.xxx.xxx",24380,6845,17,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"i3D.net","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36","Emirates Integrated Telecommunications Company PJS","1","2","United Arab Emirates","AE","Dubai","DU","Academic City",25.114,55.410,11.669,"Dubai - Dubai - United Arab Emirates","Dubai","locality","United Arab Emirates","AE","Dubai","","",""
8380424242,"2019-07-01 00:00:01","1114107673","117.136.xxx.xxx",43023,18417,27,"Guangzhou","CN","CN",23.1333,113.2667,"ChinaTelecom-GZ","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:67.0) Gecko/20100101 Firefox/67.0","China Mobile Guangdong","1","4","China","CN","Guangdong","GD","Humen",22.826,113.671,33.3949,"Dongguan, Guangdong, China","Dongguan","locality","China","CN","Guangdong","","","523899"
8380424244,"2019-07-01 00:00:01","1105566225","101.128.xxx.xxx",9556,4414,17,"Jakarta","Indonesia","ID",-6.1745,106.8227,"MYMATRIX","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","PT. Cyberindo Aditama","1","2","Indonesia","ID","South Sumatra","SS","Palembang",-2.916,104.750,266.832,"Palembang, Palembang City, South Sumatra, Indonesia","Palembang","locality","Indonesia","ID","South Sumatra","Palembang City","",""
8380424245,"2019-07-01 00:00:01","2149227341","156.203.xxx.xxx",1369,672,37,"Cairo","EG","EG",30.0566,31.2262,"we","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","TE Data","1","2","Egypt","EG","Qena Governorate","KN","Armant",25.619,32.545,317.365,"Qesm Al Wahat Al Khargah, New Valley Governorate, Egypt","Qesm Al Wahat Al Khargah","administrative_area_level_2","Egypt","EG","New Valley Governorate","Qesm Al Wahat Al Khargah","",""
8380424246,"2019-07-01 00:00:01","816113107","80.66.xxx.xxx",3554,1026,38,"Ivanovo","Russian Federation","RU",56.9967,40.9819,"Rostelecom","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Rostelecom","1","2","Russia","RU","Ivanovo Oblast","IVA","Komsomol'sk",57.026,40.378,22.8006,"Komsomolsk, Ivanovo Oblast, Russia, 155150","Komsomolsk","locality","Russia","RU","Ivanovo Oblast","Komsomolsky District","","155150"
8380424248,"2019-07-01 00:00:02","2018273673","87.27.xxx.xxx",396648,103446,5,"Milano","Italy","IT",45.4654,9.1859,"Nethive SRL","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","Telecom Italia Business","1","2","Italy","IT","Lombardy","25","Milan",45.464,9.189,0.190572,"Milan, Italy","Milan","locality","Italy","IT","Lombardy","Metropolitan City of Milan","Milan","20121"
8380424249,"2019-07-01 00:00:02","1737071798","140.213.xxx.xxx",2827,398,42,"Cirebon","Indonesia","ID",-6.7167,108.5667,"PT. Bina Informatika Solusi","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","XL Axiata","1","4","Indonesia","ID","West Java","JB","Cisadap",-6.982,108.102,36.8089,"Mekarasih, Malangbong, Garut Regency, West Java, Indonesia","Mekarasih","administrative_area_level_4","Indonesia","ID","West Java","Garut Regency","Malangbong, Mekarasih","44188"
8380424250,"2019-07-01 00:00:02","762197183","220.240.xxx.xxx",14246,781,15,"Melbourne","Australia","AU",-37.8136,144.9631,"DCS Internet","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","TPG Internet","1","2","Australia","AU","Victoria","VIC","Elsternwick",-37.886,145.002,5.47609,"Elsternwick VIC 3185, Australia","Elsternwick","locality","Australia","AU","Victoria","Glen Eira City","","3185"
